ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YLDUN,YLDIN,PL_STUN,PL_STIN,DY_SKUN,DY_SKIN,PL_HTUN,PL_HTIN,E_HTUN,E_HTIN,ASI_IN,ASI_UN,DY_TASSIN,DY_TASSUN,E_ASPIN,E_ASPUN,E_HARVIN,E_HARVUN,E_ROTIN,E_ROTUN,ELDIN,HUSKUN,HUSKIN,INSTINF,INSTUN,P_ASPIN,P_ASPUN,P_HARVIN,P_HARVUN,R_LIN,R_LUN,RLPER,RUSTIN,RUSTUN,S_LIN,S_LUN,SLPER,STR_CO1,STR_CO2,STR_CO3,STR_RAT1,STR_RAT2,STREAK,BLTIN_M,BLTUN_M,CURVIN,CURVUN,STR_CO3_IN,STR_CO3_UN,STR_RA1_IN,STR_RA1_UN,STR_RA2_IN,STR_RA2_UN,STR_CO1_IN,STR_CO1_UN,STR_CO2_IN,STR_CO2_UN,POLSHEDIN,POLSHEDUN,HMIN,HMUN
51,Striga Hybrid Maize Trial (White/Yellow),K923BG,7,925-8 STR,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,13.00,17.33,59.00,61.33,2.00,175.00,16.67,88.33,,,,,,2.67,15.00,12.33,,,,3.00,3.00,,,3.33,2.67,16.00,,3.00,2.67,,,,2.33,2.00,,,97.00,,3.67,3.33,,,,,,,,,,,,,,,,,,,
52,Striga Hybrid Maize Trial (White/Yellow),K923BG,8,8329-15,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,21.00,22.33,58.67,6.00,213.33,19.00,118.33,95.00,,,,,4.75,2.67,18.00,22.00,,,,2.67,3.00,,,3.00,2.00,22.00,,2.67,3.33,,,,3.00,2.67,,,52.00,,3.00,4.00,,,,,,,,,,,,,,,,,,,
53,Striga Hybrid Maize Trial (White/Yellow),K923BG,9,8535-23,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,2.00,21.67,62.00,63.00,238.33,22.00,14.00,115.00,,,,,5.00,2.67,14.67,17.67,,,,2.33,2.67,,,2.00,1.33,2.67,,2.67,2.33,,,,2.00,2.33,,,88.00,,4.00,4.00,,,,,,,,,,,,,,,,,,,
54,Striga Hybrid Maize Trial (White/Yellow),K923BG,1,8338-1 (SUSCEPTIBLE),NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,19.67,19.33,58.67,61.00,233.33,188.33,111.67,95.00,,,,,4.75,2.33,1.00,17.33,,,,3.33,3.67,,,4.00,2.33,18.00,,2.67,2.67,,,,2.33,2.33,,,59.67,,6.33,7.33,,,,,,,,,,,,,,,,,,,
55,Striga Hybrid Maize Trial (White/Yellow),K923BG,11,CHECK 1,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,2.67,22.33,58.67,59.67,223.33,28.33,118.33,116.67,,,,,5.00,2.00,18.33,21.33,,,,3.00,3.33,,,2.00,1.33,2.67,,2.67,2.67,,,,2.33,2.00,,,158.00,,3.00,3.67,,,,,,,,,,,,,,,,,,,
56,Striga Hybrid Maize Trial (White/Yellow),K923BG,12,CHECK 2,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1992,,,19.67,21.67,57.33,59.33,233.33,216.67,111.67,1.00,,,,,5.00,2.67,13.33,18.33,,,,3.33,3.33,,,3.67,2.00,21.00,,3.00,2.33,,,,2.67,2.67,,,129.67,,6.00,7.33,,,,,,,,,,,,,,,,,,,
57,Striga Hybrid Maize Trial (White/Yellow),K923KA,1,921-18,NIGERIA,KADUNA,,7.45,1.60,Moist Savanna,1992,4853,,38.00,,66.67,,215.00,,11.67,,,,,,3.75,2.33,,33.33,,,,,3.33,,,,3.00,,37.67,,5.00,,,,,4.00,,,,,,2.33,,,2.00,,,,,,,,,,,,,,,,
58,Striga Hybrid Maize Trial (White/Yellow),K923KA,2,922-13 STR,NIGERIA,KADUNA,,7.45,1.60,Moist Savanna,1992,3683,,37.33,,65.00,,211.67,,98.33,,,,,,3.25,4.00,,3.67,,,,,4.33,,,,3.33,,39.33,,5.67,,,,,3.00,,,,,,3.00,,,2.33,,,,,,,,,,,,,,,,
59,Striga Hybrid Maize Trial (White/Yellow),K923KA,3,944-31 STR,NIGERIA,KADUNA,,7.45,1.60,Moist Savanna,1992,3997,,35.67,,67.33,,26.67,,1.00,,,,,,2.25,3.33,,35.33,,,,,4.00,,,,3.00,,36.00,,5.33,,,,,4.33,,,,,,2.67,,,2.00,,,,,,,,,,,,,,,,
60,Striga Hybrid Maize Trial (White/Yellow),K923KA,4,944-27 STR,NIGERIA,KADUNA,,7.45,1.60,Moist Savanna,1992,5139,,35.00,,65.00,,196.67,,9.00,,,,,,3.25,2.33,,31.33,,,,,4.67,,,,3.33,,35.67,,4.67,,,,,3.67,,,,,,3.00,,,2.33,,,,,,,,,,,,,,,,
61,Striga Hybrid Maize Trial (White/Yellow),K923KA,5,913-5 STR,NIGERIA,KADUNA,,7.45,1.60,Moist Savanna,1992,3278,,29.33,,63.33,,23.33,,1.00,,,,,,3.00,3.00,,26.67,,,,,4.67,,,,3.33,,29.67,,5.33,,,,,3.33,,,,,,2.67,,,2.00,,,,,,,,,,,,,,,,
62,Striga Hybrid Maize Trial (White/Yellow),K923KA,6,913-7 STR,NIGERIA,KADUNA,,7.45,1.60,Moist Savanna,1992,3241,,31.67,,64.00,,215.00,,96.67,,,,,,3.75,3.33,,28.67,,,,,3.33,,,,3.67,,32.33,,5.00,,,,,4.00,,,,,,2.67,,,2.33,,,,,,,,,,,,,,,,
63,Striga Hybrid Maize Trial (White/Yellow),K923KA,7,925-8 STR,NIGERIA,KADUNA,,7.45,1.60,Moist Savanna,1992,2169,,28.67,,67.33,,186.67,,88.33,,,,,,2.75,5.00,,26.00,,,,,4.00,,,,4.00,,29.33,,5.67,,,,,3.67,,,,,,3.00,,,2.67,,,,,,,,,,,,,,,,
